,name,direction,species,run,ID,speed,dutyfactor,stepphase,foot,body_angle,stride_length_F,stride_length_H,stride_frequency,width_F,width_H,midwrist_F,midwrist_H,limbROM_F,limbROM_H,spineROM_F,spineROM_H,CROM_F,CROM_H,diag,Sum_toe_F,Mean_toe_F,Sum_toe_H,Mean_toe_H,Mean_toe_align_F_to,Mean_toe_align_F_to1,Mean_toe_align_F_tm,Mean_toe_align_F_ti1,Mean_toe_align_F_ti,Mean_toe_align_H_to,Mean_toe_align_H_to1,Mean_toe_align_H_tm,Mean_toe_align_H_ti1,Mean_toe_align_H_ti,individual,SVL,conversion_factor,rel_stride_length_F,rel_width_F,rel_width_H,rel_speed
1,hfren11_down_01_hflipDLC_resnet50_lizardpaper21GJun15shuffle1_500000.csv,down,hfren,1,hfren11_down_01,6900.966667,0.48,1,FL,NA,NA,NA,12.82,169.6833333,187.3166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hfren11,426,0.6,NA,0.398317684,0.439710485,16.19945227
2,hfren11_down_01_hflipDLC_resnet50_lizardpaper21GJun15shuffle1_500000.csv,down,hfren,1,hfren11_down_01,6668.793333,0.48,2,FL,3.095241096,121.0769899,NA,12.82,169.6833333,187.3166667,NA,NA,63.22503657,NA,15.40188074,NA,-32.16825786,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hfren11,426,0.6,0.284218286,0.398317684,0.439710485,15.65444444
3,hfren11_down_01_hflipDLC_resnet50_lizardpaper21GJun15shuffle1_500000.csv,down,hfren,1,hfren11_down_01,5221.839286,0.48,3,FL,1.41627905,143.071823,168.8650422,12.82,169.6833333,187.3166667,18.59104178,118.8205201,81.00311687,96.98536267,17.22317091,17.22317091,-25.52637126,22.48682398,137.4115619,23.78432524,55.49675889,12.75284289,44.63495012,-93.98919583,-32.35663333,25.29873638,80.57879081,134.8000327,-175.9217211,118.6537332,69.94176869,31.54181709,NA,hfren11,426,0.6,0.33584935,0.398317684,0.439710485,12.2578387
4,hfren11_down_01_hflipDLC_resnet50_lizardpaper21GJun15shuffle1_500000.csv,down,hfren,1,hfren11_down_01,3606.65625,0.48,4,FL,8.909767817,158.9196058,166.6906796,12.82,169.6833333,187.3166667,NA,142.9820738,69.85635854,86.66383284,18.75074851,16.81699864,-27.12480415,26.97865306,NA,0,NA,19.7444388,39.4888776,NA,NA,NA,NA,NA,-147.1268685,145.9769675,98.43870442,62.25586788,29.3250462,hfren11,426,0.6,0.373050718,0.398317684,0.439710485,8.466329225
5,hfren11_down_01_hflipDLC_resnet50_lizardpaper21GJun15shuffle1_500000.csv,down,hfren,1,hfren11_down_01,669.4569444,0.48,5,FL,5.366962945,137.1590768,137.1590768,12.82,169.6833333,187.3166667,41.49489806,135.7917983,65.95305038,94.77604014,17.88672105,18.13345121,-39.83957022,26.85677257,177.2866964,144.5478352,53.89919278,94.53073707,35.24874942,NA,-15.13770975,30.92249892,84.34598296,146.5679695,-146.5834875,140.8042749,96.53403514,58.43488798,34.60828811,hfren11,426,0.6,0.321969664,0.398317684,0.439710485,1.571495175
6,hfren11_down_01_hflipDLC_resnet50_lizardpaper21GJun15shuffle1_500000.csv,down,hfren,1,hfren11_down_01,6900.966667,0.48,1,FR,NA,99.96171771,NA,12.82,169.6833333,187.3166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hfren11,426,0.6,0.23465192,0.398317684,0.439710485,16.19945227
7,hfren11_down_01_hflipDLC_resnet50_lizardpaper21GJun15shuffle1_500000.csv,down,hfren,1,hfren11_down_01,6668.793333,0.48,2,FR,3.095241096,122.7198135,145.3154334,12.82,169.6833333,187.3166667,23.37762733,90.64359558,NA,NA,NA,NA,NA,NA,114.0212229,0,NA,112.1141416,37.37138054,NA,-47.44846552,0.75578798,59.16575089,124.9993665,-174.5667696,114.0048717,65.6432185,23.91009498,1.126345216,hfren11,426,0.6,0.28807468,0.398317684,0.439710485,15.65444444
8,hfren11_down_01_hflipDLC_resnet50_lizardpaper21GJun15shuffle1_500000.csv,down,hfren,1,hfren11_down_01,5221.839286,0.48,3,FR,1.41627905,144.7626896,162.6650922,12.82,169.6833333,187.3166667,18.4803033,96.03965017,NA,89.74409445,NA,17.79564549,NA,22.60164737,114.5199535,170.6940247,56.89800825,80.8040474,47.13569432,NA,-42.89808915,1.019630927,56.61819458,124.3957783,-173.0144578,113.1776266,60.23547409,19.84245698,NA,hfren11,426,0.6,0.33981852,0.398317684,0.439710485,12.2578387
9,hfren11_down_01_hflipDLC_resnet50_lizardpaper21GJun15shuffle1_500000.csv,down,hfren,1,hfren11_down_01,3606.65625,0.48,4,FR,8.909767817,123.1623113,177.3252515,12.82,169.6833333,187.3166667,36.18768939,101.8657077,NA,97.54799504,NA,14.79995964,NA,26.5528247,138.0533971,139.7492688,46.5830896,113.7049027,41.34723734,NA,-24.76031842,2.08438371,46.66738548,115.9503554,-142.0172361,132.9914668,83.14896909,33.04605149,12.04539255,hfren11,426,0.6,0.289113407,0.398317684,0.439710485,8.466329225
10,hfren11_down_01_hflipDLC_resnet50_lizardpaper21GJun15shuffle1_500000.csv,down,hfren,1,hfren11_down_01,4362.944792,0.48,5,FR,2.630742042,13.67457069,8.130804927,12.82,169.6833333,187.3166667,23.56349001,98.38604975,NA,NA,NA,NA,NA,NA,121.9495398,171.2318483,57.07728276,124.7219694,41.5739898,-101.4216556,-45.49737243,3.795304136,63.5792417,129.1006014,-164.9696726,127.1645732,78.31779443,26.91475392,1.432808223,hfren11,426,0.6,0.032099931,0.398317684,0.439710485,10.24165444
